<BEG GLOBAL>
	Process[s]	16232-EAD
	Lot[s]	16232
	Wafer[s]	1
	Mask[s]	EAD
	Operator[s]	default
	Date[s]	16/05/2023
	Time[s]	11:26:38
	WaferInfo[s]	
<END GLOBAL>
<BEG>	WAFER (1)
	<BEG>	DIE (0 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.02	4.030817E-07
					0.04	8.535822E-07
					0.06	1.352635E-06
					0.08	1.898430E-06
					0.1	2.490483E-06
					0.12	3.129231E-06
					0.14	3.813656E-06
					0.16	4.544468E-06
					0.18	5.321293E-06
					0.2	6.144252E-06
					0.22	7.013596E-06
					0.24	7.928729E-06
					0.26	8.890132E-06
					0.28	9.895574E-06
					0.3	1.094853E-05
					0.32	1.204414E-05
					0.34	1.318953E-05
					0.36	1.438170E-05
					0.38	1.562919E-05
					0.4	1.695290E-05
					0.42	1.837716E-05
					0.44	1.997567E-05
					0.46	2.189134E-05
					0.48	2.443450E-05
					0.5	2.827792E-05
					0.52	3.480860E-05
					0.54	4.704209E-05
					0.56	7.123806E-05
					0.58	1.208291E-04
					0.6	2.235608E-04
					0.62	4.358330E-04
					0.64	8.695432E-04
					0.66	1.723021E-03
					0.68	3.335330E-03
					0.7	6.109662E-03
					0.72	1.041769E-02
					0.74	1.637125E-02
					0.76	2.392056E-02
					0.78	3.280716E-02
					0.8	4.274583E-02
					0.82	5.354408E-02
					0.84	6.498047E-02
					0.86	7.695733E-02
					0.88	8.934110E-02
					0.9	1.020597E-01
					0.92	1.150527E-01
					0.94	1.283100E-01
					0.96	1.417764E-01
					0.98	1.554030E-01
					1.0	1.691705E-01
					1.02	1.830836E-01
					1.04	1.970914E-01
					1.06	2.112277E-01
					1.08	2.254249E-01
					1.1	2.397308E-01
					1.12	2.540697E-01
					1.14	2.684946E-01
					1.16	2.829882E-01
					1.18	2.975108E-01
					1.2	3.121159E-01
					1.22	3.267312E-01
					1.24	3.414124E-01
					1.26	3.561097E-01
					1.28	3.708495E-01
					1.3	3.856599E-01
					1.32	4.004908E-01
					1.34	4.153692E-01
					1.36	4.302765E-01
					1.38	4.451992E-01
					1.4	4.601551E-01
					1.42	4.751185E-01
					1.44	4.901118E-01
					1.46	4.997190E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-8 0)
	<BEG>	DIE (-9 0)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	1.457556E-11
					0.02	1.454067E-11
					0.04	2.323098E-12
					0.06	3.775459E-11
					0.08	-1.922303E-11
					0.1	3.277685E-11
					0.12	2.714201E-11
					0.14	2.218420E-12
					0.16	9.778095E-12
					0.18	5.356586E-11
					0.2	4.355223E-11
					0.22	1.120193E-10
					0.24	2.229716E-10
					0.26	4.948685E-10
					0.28	9.981427E-10
					0.3	2.203620E-09
					0.32	4.688171E-09
					0.34	9.953861E-09
					0.36	2.154953E-08
					0.38	4.612662E-08
					0.4	9.891880E-08
					0.42	2.118435E-07
					0.44	4.543806E-07
					0.46	9.715518E-07
					0.48	2.076228E-06
					0.5	4.436650E-06
					0.52	9.444115E-06
					0.54	2.011861E-05
					0.56	4.276942E-05
					0.58	9.080086E-05
					0.6	1.919772E-04
					0.62	4.032098E-04
					0.64	8.366113E-04
					0.66	1.691193E-03
					0.68	3.305786E-03
					0.7	6.084955E-03
					0.72	1.039701E-02
					0.74	1.635309E-02
					0.76	2.390219E-02
					0.78	3.278739E-02
					0.8	4.271960E-02
					0.82	5.350891E-02
					0.84	6.493528E-02
					0.86	7.690261E-02
					0.88	8.927455E-02
					0.9	1.019804E-01
					0.92	1.149580E-01
					0.94	1.281949E-01
					0.96	1.416590E-01
					0.98	1.552607E-01
					1.0	1.690188E-01
					1.02	1.829181E-01
					1.04	1.969066E-01
					1.06	2.110265E-01
					1.08	2.252053E-01
					1.1	2.394931E-01
					1.12	2.538179E-01
					1.14	2.682238E-01
					1.16	2.826988E-01
					1.18	2.972080E-01
					1.2	3.117916E-01
					1.22	3.263946E-01
					1.24	3.410533E-01
					1.26	3.557374E-01
					1.28	3.704559E-01
					1.3	3.852512E-01
					1.32	4.000565E-01
					1.34	4.149224E-01
					1.36	4.298027E-01
					1.38	4.447063E-01
					1.4	4.596454E-01
					1.42	4.745897E-01
					1.44	4.895678E-01
					1.46	4.997411E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (-9 0)
	<BEG>	DIE (0 -1)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	1.944862E-11
					0.02	2.834855E-12
					0.04	-1.083720E-11
					0.06	-1.590680E-12
					0.08	-7.196744E-12
					0.1	1.159241E-11
					0.12	1.002233E-11
					0.14	8.556926E-12
					0.16	1.136562E-11
					0.18	4.290094E-11
					0.2	6.204430E-11
					0.22	9.266084E-11
					0.24	2.203896E-10
					0.26	4.838488E-10
					0.28	9.708699E-10
					0.3	2.114990E-09
					0.32	4.492622E-09
					0.34	9.621457E-09
					0.36	2.062096E-08
					0.38	4.417478E-08
					0.4	9.475734E-08
					0.42	2.029772E-07
					0.44	4.354178E-07
					0.46	9.312295E-07
					0.48	1.990368E-06
					0.5	4.254122E-06
					0.52	9.058324E-06
					0.54	1.930019E-05
					0.56	4.103490E-05
					0.58	8.713858E-05
					0.6	1.842978E-04
					0.62	3.872634E-04
					0.64	8.042131E-04
					0.66	1.627831E-03
					0.68	3.188567E-03
					0.7	5.886379E-03
					0.72	1.009280E-02
					0.74	1.592802E-02
					0.76	2.335172E-02
					0.78	3.210911E-02
					0.8	4.191677E-02
					0.82	5.258037E-02
					0.84	6.388380E-02
					0.86	7.572518E-02
					0.88	8.797187E-02
					0.9	1.005525E-01
					0.92	1.134045E-01
					0.94	1.265112E-01
					0.96	1.398476E-01
					0.98	1.533210E-01
					1.0	1.669454E-01
					1.02	1.807173E-01
					1.04	1.945770E-01
					1.06	2.085605E-01
					1.08	2.226159E-01
					1.1	2.367649E-01
					1.12	2.509574E-01
					1.14	2.652267E-01
					1.16	2.795721E-01
					1.18	2.939417E-01
					1.2	3.083907E-01
					1.22	3.228556E-01
					1.24	3.373770E-01
					1.26	3.519233E-01
					1.28	3.665029E-01
					1.3	3.811503E-01
					1.32	3.958057E-01
					1.34	4.105356E-01
					1.36	4.252667E-01
					1.38	4.400251E-01
					1.4	4.548257E-01
					1.42	4.696287E-01
					1.44	4.844635E-01
					1.46	4.992880E-01
					1.48	4.997164E-01
			<END DATA>
			<END>	MODTEST (IV_test 1)
		<END>	MODULE (0 0)
	<END>	DIE (0 -1)
	<BEG>	DIE (-1 -1)
		<BEG>	MODULE (0 0)
			<BEG>	MODTEST (IV_test 1)
				<BEG PARMS>
					pass	meas_error
				<END PARMS>
				<BEG DATA>
V(V)	I(A)
					0.0	8.033566E-12
					0.02	1.190549E-13
					0.04	3.532968E-11
					0.06	-3.184105E-12
					0.08	1.622123E-11
					0.1	6.765871E-12
					0.12	3.752778E-11
					0.14	3.672233E-12
					0.16	2.537422E-11
					0.18	4.058653E-11
					0.2	5.572325E-11
					0.22	8.495576E-11
					0.24	2.134696E-10
					0.26	4.115728E-10
					0.28	9.221450E-10
					0.3	1.969301E-09
					0.32	4.271346E-09
					0.34	9.138379E-09
					0.36	1.964507E-08
					0.38	4.202658E-08
					0.4	9.016975E-08
					0.42	1.931253E-07
					0.44	4.143517E-07
					0.46	8.862277E-07
					0.48	1.894459E-06
					0.5	4.049776E-06
					0.52	8.625208E-06
					0.54	1.837803E-05
					0.56	3.908054E-05
					0.58	8.301985E-05
					0.6	1.756318E-04
					0.62	3.693644E-04
					0.64	7.678686E-04
					0.66	1.557451E-03
					0.68	3.061131E-03
					0.7	5.677269E-03
					0.72	9.790289E-03
					0.74	1.553646E-02
					0.76	2.289130E-02
					0.78	3.160511E-02
					0.8	4.138994E-02
					0.82	5.205188E-02
					0.84	6.336367E-02
					0.86	7.522676E-02
					0.88	8.750343E-02
					0.9	1.001211E-01
					0.92	1.130094E-01
